run_name,dataset,fusion,w_text,w_image,w_meta,k,hit@10,ndcg@10,p50_ms,p95_ms,memory_mb,faiss,faiss_name,timestamp
concat_k10_wt1_wi0_wm0,beauty,concat,1.0,0.0,0.0,10,0.4912998974323272,0.3683509546803032,0.24301450321218,0.3781401486776302,131.21875,False,,2025-08-31T20:18:32.025819+00:00
weighted_k10_wt1_wi0.2_wm0.2,beauty,weighted,1.0,0.2,0.2,10,0.8229273557662964,0.3441258815657199,0.0997634997474961,0.1846651517553254,128.65625,False,,2025-08-31T20:18:48.683171+00:00
concat_k10_wt1_wi0_wm0_faiss,beauty,concat,1.0,0.0,0.0,10,0.4912998974323272,0.3683509546803032,0.1152279946836642,0.158001499949023,138.12109375,True,beauty_concat,2025-08-31T20:19:00.200663+00:00
weighted_k10_wt1_wi0.2_wm0.2_faiss,beauty,weighted,1.0,0.2,0.2,10,0.8229273557662964,0.3441258815657199,0.1442194916307926,0.2825600553478579,127.41015625,True,beauty_weighted,2025-08-31T20:19:13.006130+00:00
